timestamp,x,y,z,roll,pitch,yaw,vx,vy,vz,vroll,vpitch,vyaw,linear_velocity,angular_velocity,linear_acceleration,angular_acceleration
1.1,2.70695,0.295041,0,0,0,0,2.84504,-1.17348,0,0,0,0,3.07755,0,2.22425,0
1.11,2.73236,0.273443,0,0,0,0,2.8248,-1.17019,0,0,0,0,3.05759,0,1.82096,0
1.12,2.75751,0.251843,0,0,0,0,2.80906,-1.16779,0,0,0,0,3.04213,0,1.3246,0
1.13,2.78236,0.230271,0,0,0,0,2.79857,-1.16649,0,0,0,0,3.03195,0,0.770592,0
1.14,2.80689,0.208752,0,0,0,0,2.79373,-1.16628,0,0,0,0,3.0274,0,0.201082,0
1.15,2.8311,0.187305,0,0,0,0,2.79458,-1.16701,0,0,0,0,3.02847,0,0.370835,0
1.16,2.855,0.16594,0,0,0,0,2.80084,-1.16839,0,0,0,0,3.03477,0,0.877779,0
1.17,2.87862,0.144663,0,0,0,0,2.81188,-1.17,0,0,0,0,3.04559,0,1.30896,0
1.18,2.90201,0.123472,0,0,0,0,2.82684,-1.1714,0,0,0,0,3.05994,0,1.64286,0
1.19,2.92523,0.102362,0,0,0,0,2.84467,-1.17209,0,0,0,0,3.07668,0,1.86872,0
1.2,2.94835,0.0813232,0,0,0,0,2.86422,-1.17161,0,0,0,0,3.09458,0,1.98643,0
1.21,2.97145,0.0603439,0,0,0,0,2.88432,-1.16955,0,0,0,0,3.11242,0,2.007,0
1.22,2.9946,0.0394111,0,0,0,0,2.9039,-1.16557,0,0,0,0,3.12909,0,1.95261,0
1.23,3.01787,0.0185125,0,0,0,0,2.92205,-1.15946,0,0,0,0,3.14368,0,1.85571,0
1.24,3.04133,-0.00236207,0,0,0,0,2.93807,-1.15109,0,0,0,0,3.15552,0,1.75593,0
1.25,3.06502,-0.0232193,0,0,0,0,2.95158,-1.14046,0,0,0,0,3.16425,0,1.69176,0
1.26,3.08898,-0.044061,0,0,0,0,2.96248,-1.12766,0,0,0,0,3.16985,0,1.6869,0
1.27,3.11324,-0.0648832,0,0,0,0,2.97102,-1.11288,0,0,0,0,3.17261,0,1.74011,0
1.28,3.13778,-0.0856759,0,0,0,0,2.97772,-1.09637,0,0,0,0,3.17314,0,1.83078,0
1.29,3.16261,-0.106422,0,0,0,0,2.98339,-1.07842,0,0,0,0,3.17232,0,1.93608,0
1.3,3.18768,-0.127099,0,0,0,0,2.98903,-1.05934,0,0,0,0,3.1712,0,2.04534,0
1.31,3.21296,-0.147678,0,0,0,0,2.99576,-1.03943,0,0,0,0,3.17096,0,2.16564,0
1.32,3.2384,-0.168126,0,0,0,0,3.00473,-1.01897,0,0,0,0,3.1728,0,2.31879,0
1.33,3.26396,-0.188407,0,0,0,0,3.01699,-0.998193,0,0,0,0,3.17783,0,2.53038,0
1.34,3.28958,-0.208483,0,0,0,0,3.03344,-0.977293,0,0,0,0,3.18698,0,2.81462,0
1.35,3.31522,-0.228316,0,0,0,0,3.0547,-0.956401,0,0,0,0,3.20092,0,3.16423,0
1.36,3.34086,-0.247874,0,0,0,0,3.08105,-0.935604,0,0,0,0,3.21997,0,3.55096,0
1.37,3.36649,-0.267125,0,0,0,0,3.11236,-0.914941,0,0,0,0,3.24406,0,3.9332,0
1.38,3.39211,-0.286043,0,0,0,0,3.14807,-0.894422,0,0,0,0,3.27267,0,4.26432,0
1.39,3.41774,-0.304612,0,0,0,0,3.1872,-0.874032,0,0,0,0,3.30487,0,4.49913,0
1.4,3.44343,-0.32282,0,0,0,0,3.22834,-0.853751,0,0,0,0,3.33932,0,4.59868,0
1.41,3.46924,-0.340665,0,0,0,0,3.26978,-0.833557,0,0,0,0,3.37436,0,4.5341,0
1.42,3.49524,-0.358149,0,0,0,0,3.30957,-0.813439,0,0,0,0,3.40807,0,4.29031,0
1.43,3.52151,-0.375283,0,0,0,0,3.34562,-0.793405,0,0,0,0,3.43841,0,3.87036,0
1.44,3.54813,-0.392082,0,0,0,0,3.37586,-0.773476,0,0,0,0,3.46334,0,3.30282,0
1.45,3.57516,-0.408564,0,0,0,0,3.3984,-0.753693,0,0,0,0,3.48098,0,2.65955,0
1.46,3.60267,-0.424749,0,0,0,0,3.41163,-0.734105,0,0,0,0,3.48972,0,2.10349,0
1.47,3.6307,-0.440654,0,0,0,0,3.41435,-0.714764,0,0,0,0,3.48837,0,1.94073,0
1.48,3.65926,-0.456296,0,0,0,0,3.40591,-0.695714,0,0,0,0,3.47624,0,2.35505,0
1.49,3.68834,-0.471687,0,0,0,0,3.38622,-0.676984,0,0,0,0,3.45323,0,3.11685,0
1.5,3.7179,-0.486833,0,0,0,0,3.35584,-0.658576,0,0,0,0,3.41985,0,3.96168,0
1.51,3.74786,-0.501737,0,0,0,0,3.31591,-0.640456,0,0,0,0,3.3772,0,4.74112,0
1.52,3.77812,-0.516393,0,0,0,0,3.26813,-0.622555,0,0,0,0,3.3269,0,5.36965,0
1.53,3.80855,-0.530791,0,0,0,0,3.21462,-0.604765,0,0,0,0,3.27102,0,5.79452,0
1.54,3.83901,-0.544917,0,0,0,0,3.15785,-0.586939,0,0,0,0,3.21193,0,5.98679,0
1.55,3.86936,-0.558752,0,0,0,0,3.10039,-0.568902,0,0,0,0,3.15215,0,5.93922,0
1.56,3.89944,-0.572277,0,0,0,0,3.0448,-0.550459,0,0,0,0,3.09416,0,5.6658,0
1.57,3.92912,-0.585471,0,0,0,0,2.99345,-0.531408,0,0,0,0,3.04026,0,5.20167,0
1.58,3.95827,-0.598316,0,0,0,0,2.94832,-0.511554,0,0,0,0,2.99237,0,4.60294,0
1.59,3.98681,-0.610797,0,0,0,0,2.91087,-0.490726,0,0,0,0,2.95195,0,3.94682,0
1.6,4.01466,-0.622901,0,0,0,0,2.88197,-0.46879,0,0,0,0,2.91985,0,3.33117,0
1.61,4.0418,-0.634622,0,0,0,0,2.8618,-0.445665,0,0,0,0,2.89629,0,2.86504,0
1.62,4.06824,-0.645955,0,0,0,0,2.84986,-0.421331,0,0,0,0,2.88084,0,2.62892,0
1.63,4.09402,-0.656902,0,0,0,0,2.84503,-0.395834,0,0,0,0,2.87243,0,2.61058,0
1.64,4.11921,-0.667466,0,0,0,0,2.84561,-0.369292,0,0,0,0,2.86947,0,2.70652,0
1.65,4.14391,-0.677652,0,0,0,0,2.84952,-0.34189,0,0,0,0,2.86996,0,2.80579,0
1.66,4.16824,-0.687466,0,0,0,0,2.85442,-0.313871,0,0,0,0,2.87162,0,2.84917,0
1.67,4.19231,-0.696913,0,0,0,0,2.85788,-0.285522,0,0,0,0,2.8721,0,2.8402,0
1.68,4.21624,-0.705994,0,0,0,0,2.8576,-0.257157,0,0,0,0,2.86915,0,2.83879,0
1.69,4.24016,-0.714708,0,0,0,0,2.85161,-0.229094,0,0,0,0,2.86079,0,2.93874,0
1.7,4.26413,-0.723049,0,0,0,0,2.83833,-0.201631,0,0,0,0,2.84549,0,3.21479,0
1.71,4.28824,-0.731009,0,0,0,0,2.81682,-0.175023,0,0,0,0,2.82225,0,3.66914,0
1.72,4.31252,-0.738572,0,0,0,0,2.78673,-0.149453,0,0,0,0,2.79074,0,4.23523,0
1.73,4.33697,-0.745724,0,0,0,0,2.74845,-0.125012,0,0,0,0,2.75129,0,4.8206,0
1.74,4.36157,-0.752448,0,0,0,0,2.70299,-0.10168,0,0,0,0,2.7049,0,5.33778,0
1.75,4.38627,-0.758727,0,0,0,0,2.65197,-0.0793137,0,0,0,0,2.65316,0,5.71598,0
1.76,4.41099,-0.764547,0,0,0,0,2.59749,-0.0576417,0,0,0,0,2.59813,0,5.90471,0
1.77,4.43564,-0.769898,0,0,0,0,2.542,-0.0362666,0,0,0,0,2.54226,0,5.87579,0
1.78,4.46012,-0.774775,0,0,0,0,2.48811,-0.0146782,0,0,0,0,2.48816,0,5.62566,0
1.79,4.48433,-0.779181,0,0,0,0,2.43844,0.00772551,0,0,0,0,2.43846,0,5.17933,0
1.8,4.50817,-0.783123,0,0,0,0,2.39544,0.0316078,0,0,0,0,2.39565,0,4.59815,0
1.81,4.53158,-0.786616,0,0,0,0,2.36122,0.0576549,0,0,0,0,2.36192,0,3.99511,0
1.82,4.55449,-0.789678,0,0,0,0,2.33741,0.0865329,0,0,0,0,2.33901,0,3.55237,0
1.83,4.57688,-0.792333,0,0,0,0,2.3251,0.11884,0,0,0,0,2.32814,0,3.48438,0
