time,x,y,vx,vy
0.561732,6.25402,0.066043,0.000119791,0.00121587
0.562866,6.25488,0.0666226,0.164618,0.110648
0.564473,6.26036,0.0702825,0.585001,0.390306
0.566169,6.27377,0.0792112,1.1516,0.767233
0.56792,6.29692,0.0946248,1.75476,1.16847
0.56973,6.33019,0.116766,2.28481,1.52107
0.571619,6.37247,0.144906,2.63208,1.75207
0.573633,6.42121,0.177341,2.68691,1.78852
0.57587,6.47239,0.211398,2.33963,1.55745
0.578639,6.52052,0.243427,1.48058,0.985919
0.584296,6.55866,0.268808,9.84128e-05,0.00096155
0.585296,6.55923,0.269176,0.110327,0.0700516
0.586903,6.56291,0.271489,0.392022,0.246614
0.588599,6.57189,0.277128,0.771696,0.484588
0.59035,6.58741,0.286861,1.17586,0.737912
0.592159,6.6097,0.300842,1.53104,0.960524
0.594049,6.63803,0.31861,1.76373,1.10636
0.596063,6.67069,0.33909,1.80045,1.12937
0.5983,6.70499,0.360593,1.56772,0.98348
0.601068,6.73724,0.380817,0.992049,0.622634
0.606725,6.76279,0.396843,-5.16353e-05,0.000769496
0.607862,6.76362,0.397534,0.159676,0.13267
0.60947,6.76895,0.401939,0.567868,0.469751
0.611166,6.78196,0.412694,1.11804,0.924077
0.612917,6.80444,0.431265,1.70371,1.40771
0.614727,6.83674,0.457946,2.21838,1.83273
0.616617,6.87779,0.491858,2.55558,2.11119
0.61863,6.92512,0.530947,2.60882,2.15516
0.620868,6.97481,0.571991,2.27162,1.87671
0.623637,7.02155,0.610592,1.43748,1.1879
0.629295,7.05858,0.641182,-7.07777e-05,0.000800771
0.630295,7.05908,0.641566,0.0960475,0.0734507
0.631902,7.06228,0.643996,0.341683,0.25911
0.633598,7.07011,0.649924,0.672756,0.509345
0.635349,7.08364,0.660156,1.02519,0.775718
0.637158,7.10307,0.674855,1.3349,1.0098
0.639048,7.12778,0.693537,1.53781,1.16314
0.641062,7.15626,0.71507,1.56984,1.18732
0.643299,7.18616,0.737678,1.36691,1.0339
0.646068,7.21428,0.758941,0.864949,0.654443
0.651726,7.23657,0.77579,-0.000133453,0.000512488
0.652726,7.2373,0.775837,0.142046,0.00863261
0.654334,7.24204,0.776113,0.505394,0.0293824
0.656031,7.25362,0.776779,0.995127,0.0573462
0.657781,7.27363,0.777927,1.51646,0.0871082
0.659591,7.30238,0.779574,1.97461,0.113252
0.661481,7.33893,0.781666,2.27478,0.130363
0.663495,7.38106,0.784075,2.32221,0.133025
0.665733,7.42529,0.786605,2.02209,0.115822
0.668502,7.46689,0.788983,1.27965,0.073338
0.674163,7.49986,0.790867,0.000103427,0.0001575
0.675236,7.50079,0.791141,0.180666,0.0527373
0.676844,7.50681,0.792895,0.642104,0.187108
0.67854,7.52153,0.797181,1.26404,0.368215
0.680291,7.54694,0.804583,1.92611,0.561005
0.682101,7.58346,0.815217,2.50793,0.730424
0.683991,7.62987,0.828734,2.88914,0.841419
0.686005,7.68337,0.844314,2.94934,0.858935
0.688242,7.73955,0.860673,2.56819,0.747919
0.691011,7.79238,0.876059,1.62529,0.473318
0.696671,7.83425,0.88825,0.000271536,7.67357e-05
0.697671,7.83495,0.88809,0.136296,-0.0309306
0.699279,7.83949,0.887057,0.483912,-0.110172
0.700975,7.85058,0.884532,0.952436,-0.216978
0.702726,7.86972,0.880168,1.45118,-0.330678
0.704536,7.89723,0.873899,1.88947,-0.430601
0.706426,7.9322,0.865929,2.17661,-0.496076
0.708439,7.9725,0.856742,2.22192,-0.506435
0.710677,8.01482,0.847095,1.93471,-0.441005
0.713446,8.05463,0.838022,1.2243,-0.279116
0.719107,8.08616,0.830831,1.15381e-05,-9.92614e-05
0.720107,8.08663,0.830861,0.0903779,0.00588567
0.721715,8.08964,0.83106,0.321313,0.0211803
0.723411,8.09701,0.831547,0.632571,0.0417946
