timestamp,x_integrated,y_integrated,z_integrated,rx_integrated,ry_integrated,rz_integrated,x_actual,y_actual,z_actual,rx_actual,ry_actual,rz_actual,x_error,y_error,z_error,rx_error,ry_error,rz_error
2.1333333333333333,-0.20893273395000023,-0.13007533233333332,0.5876767594999994,-4.928658425000001,-0.30444543500000004,-1.6767714025000007,-0.202496,-0.185923,0.539824,-2.81422,-0.147294,-1.49189,-0.006436733950000217,0.055847667666666684,0.04785275949999945,-2.114438425000001,-0.15715143500000003,-0.18488140250000074
2.15,-0.20661198395000022,-0.12771741566666667,0.5868508761666661,-4.901956091666667,-0.3026975016666667,-1.6661781691666673,-0.200573,-0.185709,0.538639,-2.81434,-0.153143,-1.48592,-0.006038983950000215,0.057991584333333346,0.04821187616666611,-2.0876160916666673,-0.1495545016666667,-0.18025816916666737
2.1666666666666665,-0.2043056006166669,-0.12553203233333332,0.5859994861666661,-4.875368591666668,-0.301465215,-1.6558228025000006,-0.198805,-0.185532,0.537518,-2.81487,-0.16052,-1.48191,-0.005500600616666879,0.05999996766666668,0.04848148616666603,-2.0604985916666676,-0.140945215,-0.17391280250000052
2.183333333333333,-0.20202573395000023,-0.12349186566666666,0.5851172844999994,-4.848756425000001,-0.3012184233333333,-1.6461379525000006,-0.197231,-0.18504,0.536294,-2.81261,-0.1757,-1.4849,-0.004794733950000241,0.06154813433333335,0.0488232844999994,-2.0361464250000014,-0.12551842333333332,-0.1612379525000005
2.2,-0.1997856006166669,-0.12157108233333333,0.5841892878333328,-4.822008925000001,-0.302069835,-1.6374419025000007,-0.195877,-0.184241,0.534808,-2.80797,-0.193274,-1.49331,-0.003908600616666896,0.06266991766666666,0.04938128783333284,-2.0140389250000013,-0.10879583500000001,-0.14413190250000074
2.216666666666667,-0.19759783395000022,-0.11976383233333333,0.5832106944999994,-4.795275591666668,-0.30362489333333337,-1.6296557525000006,-0.194743,-0.183439,0.533214,-2.80504,-0.205222,-1.50103,-0.0028548339500002184,0.06367516766666666,0.04999669449999944,-1.9902355916666679,-0.09840289333333338,-0.12862575250000052
2.2333333333333334,-0.19547188395000023,-0.118075949,0.5821820194999994,-4.768686258333335,-0.30556414333333337,-1.6226661691666673,-0.193786,-0.182818,0.531594,-2.80361,-0.212508,-1.50745,-0.0016858839500002165,0.06474205100000001,0.05058801949999936,-1.965076258333335,-0.09305614333333337,-0.11521616916666733
2.25,-0.19341616728333355,-0.11650047066666666,0.5811117228333327,-4.742196591666668,-0.3081301433333334,-1.6166476858333338,-0.192995,-0.182177,0.530074,-2.801,-0.223916,-1.51712,-0.00042116728333355113,0.06567652933333334,0.05103772283333263,-1.9411965916666682,-0.08421414333333338,-0.09952768583333382
2.2666666666666666,-0.19143731728333355,-0.115029564,0.580000401166666,-4.715712258333335,-0.31156001000000005,-1.6117490025000005,-0.192348,-0.181499,0.528533,-2.7964,-0.239513,-1.52974,0.0009106827166664444,0.06646943599999999,0.05146740116666593,-1.9193122583333349,-0.07204701000000005,-0.08200900250000043
2.283333333333333,-0.18954020061666688,-0.11366922233333333,0.5788421394999993,-4.689297591666668,-0.3156647766666667,-1.6078338191666672,-0.191823,-0.181001,0.526868,-2.79229,-0.252648,-1.54085,0.0022827993833331173,0.06733177766666666,0.051974139499999295,-1.8970075916666684,-0.06301677666666672,-0.06698381916666718
2.3,-0.18773076728333354,-0.11242952066666667,0.5776399478333326,-4.663088758333335,-0.32018266000000006,-1.6047132191666673,-0.19144,-0.180752,0.525217,-2.78988,-0.262046,-1.54955,0.003709232716666455,0.06832247933333332,0.05242294783333257,-1.8732087583333348,-0.05813666000000006,-0.05516321916666733
2.3166666666666664,-0.1860147339500002,-0.11130916566666667,0.5764073461666659,-4.637176758333335,-0.32506757666666675,-1.6023848025000007,-0.191199,-0.180577,0.523749,-2.78854,-0.270996,-1.55871,0.005184266049999803,0.06926783433333332,0.05265834616666587,-1.8486367583333352,-0.05407157666666673,-0.043674802500000665
2.3333333333333335,-0.18439399228333353,-0.11031190733333333,0.5751598628333325,-4.611689758333335,-0.3302448933333334,-1.6007630375000006,-0.191045,-0.180556,0.522505,-2.78894,-0.279018,-1.56701,0.006651007716666463,0.07024409266666666,0.05265486283333254,-1.8227497583333347,-0.05122689333333341,-0.03375303750000058
2.35,-0.18286692561666687,-0.10944847566666667,0.5739092628333325,-4.586819258333335,-0.33553061000000006,-1.5996180725000007,-0.190923,-0.180805,0.521434,-2.79218,-0.28432,-1.57208,0.00805607438333314,0.07135652433333332,0.05247526283333259,-1.7946392583333353,-0.051210610000000045,-0.027538072500000732
2.3666666666666667,-0.1814330689500002,-0.108717969,0.5726656194999992,-4.562712758333335,-0.3408350933333334,-1.5988436791666674,-0.190852,-0.181144,0.520517,-2.7977,-0.288297,-1.57578,0.009418931049999801,0.072426031,0.05214861949999916,-1.7650127583333353,-0.05253809333333337,-0.023063679166667406
2.3833333333333333,-0.1800931339500002,-0.10810777066666666,0.5714365794999992,-4.539362925000002,-0.34624886000000005,-1.5985275025000008,-0.190851,-0.181386,0.519721,-2.80313,-0.293771,-1.58114,0.010757866049999787,0.07327822933333333,0.051715579499999165,-1.7362329250000017,-0.05247786000000004,-0.017387502500000762
